ID_Imovel;Area_m2;Preco_Venda_R$;Score_Prospeccao;Cluster_ID;Segmento_Imovel
IMOB-80029;66,98;538846,39;70,1;2;Eficiencia / Investimento Rapido
IMOB-80030;76,25;756290,18;54,39;1;Potencial Alto Padrao
IMOB-80031;66,95;743546,92;85,07;2;Eficiencia / Investimento Rapido
IMOB-80032;140,57;1553759,71;81,87;0;Oportunidades Economicas
IMOB-80033;84,6;694105,72;63,58;2;Eficiencia / Investimento Rapido
IMOB-80034;53,27;329169,94;87,07;2;Eficiencia / Investimento Rapido
IMOB-80035;109,68;1251302,62;32,08;0;Oportunidades Economicas
IMOB-80036;48,37;509549,41;24,29;1;Potencial Alto Padrao
IMOB-80037;91,27;570227,21;37,39;1;Potencial Alto Padrao
IMOB-80038;40,0;441002,05;19,74;1;Potencial Alto Padrao
IMOB-80039;45,15;484027,29;59,09;2;Eficiencia / Investimento Rapido
IMOB-80040;90,91;782974,55;92,74;2;Eficiencia / Investimento Rapido
IMOB-80041;107,15;969492,14;18,27;1;Potencial Alto Padrao
IMOB-80042;90,14;711574,9;25,14;1;Potencial Alto Padrao
IMOB-80043;81,53;475206,51;52,53;1;Potencial Alto Padrao
IMOB-80044;75,97;570601,24;92,51;2;Eficiencia / Investimento Rapido
IMOB-80045;40,64;419332,56;41,24;1;Potencial Alto Padrao
IMOB-80046;63,4;350487,86;57,1;2;Eficiencia / Investimento Rapido
IMOB-80047;71,18;533927,1;18,45;1;Potencial Alto Padrao
IMOB-80048;116,71;920755,54;27,31;0;Oportunidades Economicas
IMOB-80049;95,31;831507,39;96,89;2;Eficiencia / Investimento Rapido
IMOB-80050;40,0;440765,35;95,1;2;Eficiencia / Investimento Rapido
IMOB-80051;94,72;717814,45;15,41;1;Potencial Alto Padrao
IMOB-80052;73,45;556858,56;94,0;2;Eficiencia / Investimento Rapido
IMOB-80053;64,69;642071,96;68,05;2;Eficiencia / Investimento Rapido
IMOB-80054;103,35;848847,72;87,04;0;Oportunidades Economicas
IMOB-80055;115,93;793845,52;52,74;0;Oportunidades Economicas
IMOB-80056;112,94;927748,0;57,79;0;Oportunidades Economicas
IMOB-80057;59,82;379588,45;55,57;2;Eficiencia / Investimento Rapido
IMOB-80058;75,72;496619,93;70,35;2;Eficiencia / Investimento Rapido
IMOB-80059;94,94;806042,41;26,59;1;Potencial Alto Padrao
IMOB-80060;114,27;915679,45;17,49;1;Potencial Alto Padrao
IMOB-80061;70,62;776100,95;40,56;1;Potencial Alto Padrao
IMOB-80062;79,43;609576,45;73,49;2;Eficiencia / Investimento Rapido
IMOB-80063;51,81;465436,25;31,75;1;Potencial Alto Padrao
IMOB-80064;49,11;456443,32;70,89;2;Eficiencia / Investimento Rapido
IMOB-80065;109,38;610160,06;95,5;2;Eficiencia / Investimento Rapido
IMOB-80066;125,69;1191668,53;22,79;0;Oportunidades Economicas
IMOB-80067;82,84;544109,0;70,83;2;Eficiencia / Investimento Rapido
IMOB-80068;115,11;1296832,61;51,83;0;Oportunidades Economicas
IMOB-80069;95,85;612665,06;87,06;2;Eficiencia / Investimento Rapido
IMOB-80070;65,65;524366,75;29,7;1;Potencial Alto Padrao
IMOB-80071;95,84;576210,7;72,49;2;Eficiencia / Investimento Rapido
IMOB-80072;131,14;1505663,13;84,56;0;Oportunidades Economicas
IMOB-80073;83,93;714469,66;93,4;2;Eficiencia / Investimento Rapido
IMOB-80074;131,94;1196994,33;71,71;0;Oportunidades Economicas
IMOB-80075;40,0;236098,35;56,27;2;Eficiencia / Investimento Rapido
IMOB-80076;109,66;1096544,74;66,28;0;Oportunidades Economicas
IMOB-80077;87,61;592203,52;87,12;2;Eficiencia / Investimento Rapido
IMOB-80078;76,03;827837,0;62,36;2;Eficiencia / Investimento Rapido
IMOB-80079;87,75;590650,02;17,52;1;Potencial Alto Padrao
IMOB-80080;40,0;265765,05;92,27;2;Eficiencia / Investimento Rapido
IMOB-80081;78,41;448449,26;72,23;2;Eficiencia / Investimento Rapido
IMOB-80082;95,71;797522,3;71,15;0;Oportunidades Economicas
IMOB-80083;129,34;1149681,06;32,9;0;Oportunidades Economicas
IMOB-80084;69,45;409366,95;69,69;2;Eficiencia / Investimento Rapido
IMOB-80085;60,75;616756,0;47,69;1;Potencial Alto Padrao
IMOB-80086;69,95;574948,04;69,05;2;Eficiencia / Investimento Rapido
IMOB-80087;112,46;972385,42;23,85;0;Oportunidades Economicas
IMOB-80088;94,86;772615,16;69,6;0;Oportunidades Economicas
IMOB-80089;69,11;546263,23;97,95;2;Eficiencia / Investimento Rapido
IMOB-80090;100,4;889309,82;19,0;1;Potencial Alto Padrao
IMOB-80091;87,91;565402,98;96,11;2;Eficiencia / Investimento Rapido
IMOB-80092;114,06;751830,05;48,77;0;Oportunidades Economicas
IMOB-80093;63,94;682268,44;87,27;2;Eficiencia / Investimento Rapido
IMOB-80094;75,17;840153,51;79,94;2;Eficiencia / Investimento Rapido
IMOB-80095;73,24;566841,93;62,06;2;Eficiencia / Investimento Rapido
IMOB-80096;41,09;292776,82;76,29;2;Eficiencia / Investimento Rapido
IMOB-80097;93,88;879125,85;87,92;0;Oportunidades Economicas
IMOB-80098;92,83;738234,95;48,54;1;Potencial Alto Padrao
IMOB-80099;85,15;481314,13;42,14;1;Potencial Alto Padrao
IMOB-80100;77,96;501837,3;70,41;2;Eficiencia / Investimento Rapido
IMOB-80101;42,54;416703,76;82,05;2;Eficiencia / Investimento Rapido
IMOB-80102;72,38;684253,54;78,27;2;Eficiencia / Investimento Rapido
IMOB-80103;74,72;423099,55;81,22;2;Eficiencia / Investimento Rapido
IMOB-80104;60,93;416275,07;51,15;2;Eficiencia / Investimento Rapido
IMOB-80105;80,16;552027,57;82,88;2;Eficiencia / Investimento Rapido
IMOB-80106;97,12;925699,88;24,98;1;Potencial Alto Padrao
IMOB-80107;141,59;795465,04;60,19;0;Oportunidades Economicas
IMOB-80108;90,24;552672,22;15,48;1;Potencial Alto Padrao
IMOB-80109;92,73;955036,38;41,94;0;Oportunidades Economicas
IMOB-80110;82,77;543881,66;45,42;1;Potencial Alto Padrao
IMOB-80111;40,0;376659,07;47,88;2;Eficiencia / Investimento Rapido
IMOB-80112;84,2;583461,7;72,72;2;Eficiencia / Investimento Rapido
IMOB-80113;86,81;529231,18;47,25;1;Potencial Alto Padrao
IMOB-80114;158,9;1105771,32;52,24;0;Oportunidades Economicas
IMOB-80115;79,23;779108,1;34,72;1;Potencial Alto Padrao
IMOB-80116;94,05;1000106,45;45,98;0;Oportunidades Economicas
IMOB-80117;83,96;879997,38;33,86;1;Potencial Alto Padrao
IMOB-80118;49,94;393679,38;21,08;1;Potencial Alto Padrao
IMOB-80119;119,28;1134219,71;65,09;0;Oportunidades Economicas
IMOB-80120;107,56;723855,14;70,46;0;Oportunidades Economicas
IMOB-80121;108,73;789265,67;66,42;0;Oportunidades Economicas
IMOB-80122;57,72;627861,36;53,47;2;Eficiencia / Investimento Rapido
IMOB-80123;127,08;708875,07;46,52;0;Oportunidades Economicas
IMOB-80124;42,94;258227,28;86,66;2;Eficiencia / Investimento Rapido
IMOB-80125;102,61;692313,32;58,08;0;Oportunidades Economicas
IMOB-80126;150,71;852917,77;54,77;0;Oportunidades Economicas
IMOB-80127;55,28;364244,27;17,13;1;Potencial Alto Padrao
IMOB-80128;68,01;611980,55;43,32;1;Potencial Alto Padrao
IMOB-80129;87,99;706428,19;46,56;1;Potencial Alto Padrao
IMOB-80130;69,9;758790,16;48,1;1;Potencial Alto Padrao
IMOB-80131;40,0;416186,45;63,15;2;Eficiencia / Investimento Rapido
IMOB-80132;87,06;657358,22;59,29;2;Eficiencia / Investimento Rapido
IMOB-80133;53,13;374920,27;65,46;2;Eficiencia / Investimento Rapido
IMOB-80134;99,21;771653,38;78,49;0;Oportunidades Economicas
IMOB-80135;57,42;519153,76;82,48;2;Eficiencia / Investimento Rapido
IMOB-80136;131,5;934738,22;74,6;0;Oportunidades Economicas
IMOB-80137;61,5;568583,15;94,31;2;Eficiencia / Investimento Rapido
IMOB-80138;75,34;599425,76;16,51;1;Potencial Alto Padrao
IMOB-80139;109,41;964112,38;31,25;0;Oportunidades Economicas
IMOB-80140;48,07;390205,65;15,63;1;Potencial Alto Padrao
IMOB-80141;91,82;667264,68;68,74;2;Eficiencia / Investimento Rapido
IMOB-80142;124,21;1390047,24;89,54;0;Oportunidades Economicas
IMOB-80143;40,0;403265,39;35,21;1;Potencial Alto Padrao
IMOB-80144;90,54;574078,84;91,94;2;Eficiencia / Investimento Rapido
IMOB-80145;92,8;993925,31;20,0;1;Potencial Alto Padrao
IMOB-80146;108,45;913685,96;92,56;0;Oportunidades Economicas
IMOB-80147;47,89;520451,71;44,18;1;Potencial Alto Padrao
IMOB-80148;45,39;467439,49;23,42;1;Potencial Alto Padrao
IMOB-80149;100,66;810427,83;55,33;0;Oportunidades Economicas
IMOB-80150;93,91;529162,97;36,31;1;Potencial Alto Padrao
IMOB-80151;92,51;657971,09;38,64;1;Potencial Alto Padrao
IMOB-80152;95,39;834674,08;40,51;1;Potencial Alto Padrao
IMOB-80153;64,6;600829,26;81,65;2;Eficiencia / Investimento Rapido
IMOB-80154;91,97;648125,75;59,75;2;Eficiencia / Investimento Rapido
IMOB-80155;93,79;594280,01;40,84;1;Potencial Alto Padrao
IMOB-80156;63,57;668088,39;65,66;2;Eficiencia / Investimento Rapido
IMOB-80157;140,97;1607998,96;74,44;0;Oportunidades Economicas
IMOB-80158;99,21;858620,5;37,63;1;Potencial Alto Padrao
IMOB-80159;49,26;321677,37;49,32;2;Eficiencia / Investimento Rapido
IMOB-80160;104,7;746889,27;25,12;1;Potencial Alto Padrao
IMOB-80161;55,76;312830,26;30,04;1;Potencial Alto Padrao
IMOB-80162;108,61;1193194,84;71,53;0;Oportunidades Economicas
IMOB-80163;119,76;743277,98;30,06;1;Potencial Alto Padrao
IMOB-80164;60,38;540946,18;58,59;2;Eficiencia / Investimento Rapido
IMOB-80165;113,9;813748,51;73,85;0;Oportunidades Economicas
IMOB-80166;97,38;859415,37;23,87;1;Potencial Alto Padrao
IMOB-80167;109,66;1031755,54;62,09;0;Oportunidades Economicas
IMOB-80168;141,9;1486931,88;36,29;0;Oportunidades Economicas
IMOB-80169;77,64;523168,21;94,92;2;Eficiencia / Investimento Rapido
IMOB-80170;62,39;347249,57;55,13;2;Eficiencia / Investimento Rapido
IMOB-80171;58,31;368624,68;81,9;2;Eficiencia / Investimento Rapido
IMOB-80172;60,53;659736,81;60,67;2;Eficiencia / Investimento Rapido
IMOB-80173;82,69;888334,04;18,6;1;Potencial Alto Padrao
IMOB-80174;95,23;865156,32;67,55;0;Oportunidades Economicas
IMOB-80175;93,3;849325,93;93,97;2;Eficiencia / Investimento Rapido
IMOB-80176;109,82;1042173,24;64,93;0;Oportunidades Economicas
IMOB-80177;85,39;559495,09;82,99;2;Eficiencia / Investimento Rapido
IMOB-80178;128,61;1412926,42;88,39;0;Oportunidades Economicas
IMOB-80179;77,06;617455,1;33,93;1;Potencial Alto Padrao
IMOB-80180;166,61;1299324,85;32,6;0;Oportunidades Economicas
IMOB-80181;103,77;893823,72;65,71;0;Oportunidades Economicas
IMOB-80182;59,29;342775,34;49,12;2;Eficiencia / Investimento Rapido
IMOB-80183;52,87;343554,37;84,71;2;Eficiencia / Investimento Rapido
IMOB-80184;99,47;987599,65;89,7;0;Oportunidades Economicas
IMOB-80185;78,3;469525,53;44,33;1;Potencial Alto Padrao
IMOB-80186;106,42;970434,82;34,66;0;Oportunidades Economicas
IMOB-80187;99,2;691611,77;79,78;2;Eficiencia / Investimento Rapido
IMOB-80188;82,82;648920,64;37,81;1;Potencial Alto Padrao
IMOB-80189;59,6;431009,31;83,28;2;Eficiencia / Investimento Rapido
IMOB-80190;40,0;305361,45;50,17;2;Eficiencia / Investimento Rapido
IMOB-80191;71,6;702746,79;70,41;2;Eficiencia / Investimento Rapido
IMOB-80192;110,69;806139,72;22,93;1;Potencial Alto Padrao
IMOB-80193;91,42;813519,3;66,78;0;Oportunidades Economicas
IMOB-80194;47,63;397992,61;52,5;2;Eficiencia / Investimento Rapido
IMOB-80195;90,2;855235,48;63,69;0;Oportunidades Economicas
IMOB-80196;96,56;1073836,36;28,95;0;Oportunidades Economicas
IMOB-80197;58,48;578727,22;76,16;2;Eficiencia / Investimento Rapido
IMOB-80198;89,61;608431,75;86,61;2;Eficiencia / Investimento Rapido
IMOB-80199;86,75;493334,56;32,99;1;Potencial Alto Padrao
IMOB-80200;50,71;358707,76;22,94;1;Potencial Alto Padrao
IMOB-80201;95,73;868348,7;16,96;1;Potencial Alto Padrao
IMOB-80202;101,82;591447,6;68,28;2;Eficiencia / Investimento Rapido
IMOB-80203;117,49;996116,46;65,39;0;Oportunidades Economicas
IMOB-80204;116,61;1058978,95;60,38;0;Oportunidades Economicas
IMOB-80205;43,67;327762,98;34,25;1;Potencial Alto Padrao
IMOB-80206;56,87;575787,55;47,45;1;Potencial Alto Padrao
IMOB-80207;100,45;616728,26;64,34;2;Eficiencia / Investimento Rapido
IMOB-80208;100,41;597543,8;56,23;1;Potencial Alto Padrao
IMOB-80209;100,45;991368,48;96,99;0;Oportunidades Economicas
IMOB-80210;200,58;1699520,37;26,32;0;Oportunidades Economicas
IMOB-80211;102,13;983522,59;72,7;0;Oportunidades Economicas
IMOB-80212;119,07;965509,77;48,56;0;Oportunidades Economicas
IMOB-80213;113,62;792887,56;50,54;0;Oportunidades Economicas
IMOB-80214;104,54;1088761,83;74,56;0;Oportunidades Economicas
IMOB-80215;75,54;777817,05;72,47;2;Eficiencia / Investimento Rapido
IMOB-80216;107,77;1041930,7;97,27;0;Oportunidades Economicas
IMOB-80217;61,82;440920,15;25,66;1;Potencial Alto Padrao
IMOB-80218;77,9;704282,6;23,64;1;Potencial Alto Padrao
IMOB-80219;70,44;539975,06;75,12;2;Eficiencia / Investimento Rapido
IMOB-80220;87,46;529065,77;63,01;2;Eficiencia / Investimento Rapido
IMOB-80221;154,44;1699436,78;37,76;0;Oportunidades Economicas
IMOB-80222;40,0;252836,47;21,59;1;Potencial Alto Padrao
IMOB-80223;105,59;1182733,79;22,11;0;Oportunidades Economicas
IMOB-80224;40,0;327041,39;89,22;2;Eficiencia / Investimento Rapido
IMOB-80225;70,84;468322,41;30,92;1;Potencial Alto Padrao
IMOB-80226;117,67;1029764,94;41,84;0;Oportunidades Economicas
IMOB-80227;86,93;933408,91;33,81;1;Potencial Alto Padrao
IMOB-80228;52,67;521059,53;44,46;1;Potencial Alto Padrao
IMOB-80229;63,54;656972,56;20,76;1;Potencial Alto Padrao
IMOB-80230;105,39;996200,53;58,08;0;Oportunidades Economicas
IMOB-80231;63,09;609039,73;20,61;1;Potencial Alto Padrao
IMOB-80232;91,49;969392,27;81,43;0;Oportunidades Economicas
IMOB-80233;86,37;604398,05;34,4;1;Potencial Alto Padrao
IMOB-80234;65,45;552188,97;59,82;2;Eficiencia / Investimento Rapido
IMOB-80235;149,32;1019434,51;88,05;0;Oportunidades Economicas
IMOB-80236;104,02;1188505,6;69,02;0;Oportunidades Economicas
IMOB-80237;40,0;446574,24;59,24;2;Eficiencia / Investimento Rapido
IMOB-80238;90,59;519695,87;41,92;1;Potencial Alto Padrao
IMOB-80239;65,15;634099,35;42,64;1;Potencial Alto Padrao
IMOB-80240;110,57;1221996,39;70,57;0;Oportunidades Economicas
IMOB-80241;61,22;403067,76;97,51;2;Eficiencia / Investimento Rapido
IMOB-80242;81,56;726491,03;69,93;2;Eficiencia / Investimento Rapido
IMOB-80243;100,15;1100937,72;61,3;0;Oportunidades Economicas
IMOB-80244;110,97;632952,06;75,64;0;Oportunidades Economicas
IMOB-80245;48,99;474455,44;53,61;2;Eficiencia / Investimento Rapido
IMOB-80246;74,96;546051,84;19,99;1;Potencial Alto Padrao
IMOB-80247;70,75;781549,31;61,67;2;Eficiencia / Investimento Rapido
IMOB-80248;65,4;740744,65;94,48;2;Eficiencia / Investimento Rapido
IMOB-80249;137,96;1540446,53;29,55;0;Oportunidades Economicas
IMOB-80250;97,15;810739,89;72,27;0;Oportunidades Economicas
IMOB-80251;47,17;503447,47;31,68;1;Potencial Alto Padrao
IMOB-80252;112,54;1189199,77;59,47;0;Oportunidades Economicas
IMOB-80253;148,66;1102289,6;23,02;0;Oportunidades Economicas
IMOB-80254;115,97;1214652,42;52,38;0;Oportunidades Economicas
IMOB-80255;40,0;228881,83;77,76;2;Eficiencia / Investimento Rapido
IMOB-80256;70,47;639726,86;43,85;1;Potencial Alto Padrao
IMOB-80257;123,01;846296,98;70,19;0;Oportunidades Economicas
IMOB-80258;63,77;396865,78;81,02;2;Eficiencia / Investimento Rapido
IMOB-80259;98,31;586123,94;91,96;2;Eficiencia / Investimento Rapido
IMOB-80260;108,24;1047508,31;34,48;0;Oportunidades Economicas
IMOB-80261;57,19;431185,42;48,14;1;Potencial Alto Padrao
IMOB-80262;83,21;819543,81;27,65;1;Potencial Alto Padrao
IMOB-80263;40,0;235685,52;97,38;2;Eficiencia / Investimento Rapido
IMOB-80264;54,27;401137,8;91,94;2;Eficiencia / Investimento Rapido
IMOB-80265;77,42;676440,32;59,82;2;Eficiencia / Investimento Rapido
IMOB-80266;47,57;487287,4;84,89;2;Eficiencia / Investimento Rapido
IMOB-80267;133,97;993071,98;58,24;0;Oportunidades Economicas
IMOB-80268;42,1;389610,91;66,76;2;Eficiencia / Investimento Rapido
IMOB-80269;71,8;776564,78;22,4;1;Potencial Alto Padrao
IMOB-80270;88,92;817655,72;77,69;2;Eficiencia / Investimento Rapido
IMOB-80271;128,24;884555,91;25,6;0;Oportunidades Economicas
IMOB-80272;41,92;236720,64;83,56;2;Eficiencia / Investimento Rapido
IMOB-80273;119,89;1285344,59;79,91;0;Oportunidades Economicas
IMOB-80274;85,31;480075,03;73,83;2;Eficiencia / Investimento Rapido
IMOB-80275;55,55;597114,02;18,0;1;Potencial Alto Padrao
IMOB-80276;98,86;857501,28;40,16;1;Potencial Alto Padrao
IMOB-80277;90,97;1012916,87;36,84;0;Oportunidades Economicas
IMOB-80278;66,99;689543,89;44,89;1;Potencial Alto Padrao
IMOB-80279;87,09;1000502,16;22,27;1;Potencial Alto Padrao
IMOB-80280;73,44;558462,16;92,77;2;Eficiencia / Investimento Rapido
IMOB-80281;88,41;893172,44;60,97;0;Oportunidades Economicas
IMOB-80282;104,86;829639,87;40,36;0;Oportunidades Economicas
IMOB-80283;132,58;1110925,69;47,95;0;Oportunidades Economicas
IMOB-80284;47,87;443475,75;52,12;2;Eficiencia / Investimento Rapido
IMOB-80285;148,99;1600470,67;64,85;0;Oportunidades Economicas
IMOB-80286;40,0;456180,03;57,8;2;Eficiencia / Investimento Rapido
IMOB-80287;80,45;813284,66;91,31;2;Eficiencia / Investimento Rapido
IMOB-80288;102,65;821873,69;56,25;0;Oportunidades Economicas
IMOB-80289;93,43;750067,35;97,35;2;Eficiencia / Investimento Rapido
IMOB-80290;66,32;658248,97;85,67;2;Eficiencia / Investimento Rapido
IMOB-80291;78,76;545991,1;32,31;1;Potencial Alto Padrao
IMOB-80292;70,21;432693,15;92,24;2;Eficiencia / Investimento Rapido
IMOB-80293;67,32;513491,79;24,66;1;Potencial Alto Padrao
IMOB-80294;110,49;798103,22;82,85;0;Oportunidades Economicas
IMOB-80295;95,71;696566,28;46,59;1;Potencial Alto Padrao
IMOB-80296;64,21;443173,44;87,87;2;Eficiencia / Investimento Rapido
IMOB-80297;111,99;644217,57;87,05;2;Eficiencia / Investimento Rapido
IMOB-80298;94,22;528308,8;81,89;2;Eficiencia / Investimento Rapido
IMOB-80299;109,39;1249879,45;80,57;0;Oportunidades Economicas
IMOB-80300;103,89;838033,95;40,29;0;Oportunidades Economicas
IMOB-80301;60,13;469373,54;21,72;1;Potencial Alto Padrao
IMOB-80302;68,19;653159,65;48,45;1;Potencial Alto Padrao
IMOB-80303;107,42;731470,88;29,4;1;Potencial Alto Padrao
IMOB-80304;103,31;1157060,35;72,68;0;Oportunidades Economicas
IMOB-80305;84,37;862128,74;43,73;1;Potencial Alto Padrao
IMOB-80306;88,52;534346,89;95,98;2;Eficiencia / Investimento Rapido
IMOB-80307;123,33;987316,0;68,2;0;Oportunidades Economicas
IMOB-80308;67,25;724630,03;83,27;2;Eficiencia / Investimento Rapido
IMOB-80309;101,41;1132619,27;26,0;0;Oportunidades Economicas
IMOB-80310;78,93;655502,06;86,55;2;Eficiencia / Investimento Rapido
IMOB-80311;78,47;720387,35;91,59;2;Eficiencia / Investimento Rapido
IMOB-80312;117,96;767021,44;55,43;0;Oportunidades Economicas
IMOB-80313;109,76;1256452,52;65,32;0;Oportunidades Economicas
IMOB-80314;109,41;753805,75;78,48;0;Oportunidades Economicas
IMOB-80315;124,16;1385226,15;29,51;0;Oportunidades Economicas
IMOB-80316;85,63;804741,54;56,71;1;Potencial Alto Padrao
IMOB-80317;105,46;964568,63;48,09;0;Oportunidades Economicas
IMOB-80318;75,69;649144,49;27,15;1;Potencial Alto Padrao
IMOB-80319;94,72;652088,62;45,51;1;Potencial Alto Padrao
IMOB-80320;81,1;531920,39;20,66;1;Potencial Alto Padrao
IMOB-80321;87,91;599801,83;17,14;1;Potencial Alto Padrao
IMOB-80322;102,85;680757,23;26,22;1;Potencial Alto Padrao
IMOB-80323;60,45;615264,68;94,94;2;Eficiencia / Investimento Rapido
IMOB-80324;147,77;1123175,36;60,61;0;Oportunidades Economicas
IMOB-80325;54,82;320532,56;95,16;2;Eficiencia / Investimento Rapido
IMOB-80326;48,57;549600,01;50,9;2;Eficiencia / Investimento Rapido
IMOB-80327;119,74;1293553,06;40,88;0;Oportunidades Economicas
IMOB-80328;108,75;1203482,05;57,01;0;Oportunidades Economicas
IMOB-80329;103,72;1189652,26;51,48;0;Oportunidades Economicas
IMOB-80330;103,85;679531,52;23,77;1;Potencial Alto Padrao
IMOB-80331;84,63;666689,23;68,19;2;Eficiencia / Investimento Rapido
IMOB-80332;58,08;583694,75;32,93;1;Potencial Alto Padrao
IMOB-80333;87,27;844475,34;66,43;0;Oportunidades Economicas
IMOB-80334;64,69;415497,0;68,97;2;Eficiencia / Investimento Rapido
IMOB-80335;114,25;1187665,95;27,62;0;Oportunidades Economicas
IMOB-80336;80,59;551759,21;20,09;1;Potencial Alto Padrao
IMOB-80337;60,24;412183,0;79,8;2;Eficiencia / Investimento Rapido
IMOB-80338;75,36;657264,62;53,16;1;Potencial Alto Padrao
IMOB-80339;97,39;882104,9;19,83;1;Potencial Alto Padrao
IMOB-80340;68,09;611467,82;97,57;2;Eficiencia / Investimento Rapido
IMOB-80341;60,33;364951,9;19,8;1;Potencial Alto Padrao
IMOB-80342;92,31;993702,11;72,69;0;Oportunidades Economicas
IMOB-80343;92,35;655086,87;96,65;2;Eficiencia / Investimento Rapido
IMOB-80344;69,79;438088,78;34,85;1;Potencial Alto Padrao
IMOB-80345;70,87;767686,01;26,81;1;Potencial Alto Padrao
IMOB-80346;91,96;1033087,1;25,07;1;Potencial Alto Padrao
IMOB-80347;41,56;443533,14;40,17;1;Potencial Alto Padrao
IMOB-80348;42,78;443036,06;23,39;1;Potencial Alto Padrao
IMOB-80349;63,45;598394,25;72,45;2;Eficiencia / Investimento Rapido
IMOB-80350;78,6;692054,27;20,17;1;Potencial Alto Padrao
IMOB-80351;94,33;568031,07;57,28;1;Potencial Alto Padrao
IMOB-80352;129,26;1027715,43;97,73;0;Oportunidades Economicas
IMOB-80353;110,73;856620,16;82,56;0;Oportunidades Economicas
IMOB-80354;80,2;566106,54;66,06;2;Eficiencia / Investimento Rapido
IMOB-80355;84,43;830830,38;40,42;1;Potencial Alto Padrao
IMOB-80356;54,92;465495,88;66,78;2;Eficiencia / Investimento Rapido
IMOB-80357;84,44;505508,83;58,74;2;Eficiencia / Investimento Rapido
IMOB-80358;76,34;520724,36;50,36;1;Potencial Alto Padrao
IMOB-80359;94,68;908900,58;25,85;1;Potencial Alto Padrao
IMOB-80360;60,18;358497,63;88,59;2;Eficiencia / Investimento Rapido
IMOB-80361;100,58;1066880,54;52,33;0;Oportunidades Economicas
IMOB-80362;130,98;1109534,11;31,15;0;Oportunidades Economicas
IMOB-80363;81,74;685245,37;45,52;1;Potencial Alto Padrao
IMOB-80364;97,05;878746,29;49,37;0;Oportunidades Economicas
IMOB-80365;105,7;1104407,8;83,69;0;Oportunidades Economicas
IMOB-80366;72,96;553562,65;75,89;2;Eficiencia / Investimento Rapido
IMOB-80367;91,72;877612,4;78,85;0;Oportunidades Economicas
IMOB-80368;85,38;759383,35;15,92;1;Potencial Alto Padrao
IMOB-80369;87,93;624495,78;49,54;1;Potencial Alto Padrao
IMOB-80370;61,81;665800,56;54,95;2;Eficiencia / Investimento Rapido
IMOB-80371;85,74;881749,56;16,59;1;Potencial Alto Padrao
IMOB-80372;99,94;944503,57;36,56;0;Oportunidades Economicas
IMOB-80373;128,53;1362912,3;78,1;0;Oportunidades Economicas
IMOB-80374;113,78;1217854,33;26,38;0;Oportunidades Economicas
IMOB-80375;149,6;1458582,48;59,43;0;Oportunidades Economicas
IMOB-80376;61,98;652154,02;32,86;1;Potencial Alto Padrao
IMOB-80377;111,17;1076658,73;16,01;0;Oportunidades Economicas
IMOB-80378;90,5;867068,93;35,02;1;Potencial Alto Padrao
IMOB-80379;150,69;1388143,95;96,0;0;Oportunidades Economicas
IMOB-80380;60,75;608500,75;81,53;2;Eficiencia / Investimento Rapido
IMOB-80381;59,81;385861,35;94,64;2;Eficiencia / Investimento Rapido
IMOB-80382;67,02;722806,56;55,49;2;Eficiencia / Investimento Rapido
IMOB-80383;40,0;429242,45;24,11;1;Potencial Alto Padrao
