ID_Transacao,ID_Cliente,ID_Produto,Data,Valor_Transacao,Status_Pagamento,Dias_Atraso,Rating_Risco
500075,1042,102,2025-05-30,46251.59,Liquidado,0,A
500076,1090,101,2025-10-04,5820.54,Liquidado,0,C
500077,1240,104,2025-07-17,190539.42,Em Dia,0,E
500078,1115,101,2025-03-11,10211.22,Em Dia,0,C
500079,1026,101,2025-04-22,1143.67,Em Dia,0,C
500080,1151,102,2025-01-04,36121.59,Em Dia,0,A
500081,1043,101,2025-12-16,3566.78,Em Atraso,3,C
500082,1077,101,2025-11-27,1963.22,Em Atraso,5,D
500083,1156,101,2025-11-14,6772.8,Em Dia,0,D
500084,1137,102,2025-12-16,56510.77,Liquidado,0,A
500085,1020,102,2025-04-05,38619.17,Em Dia,0,A
500086,1184,103,2025-06-01,15348.95,Em Dia,0,A
500087,1211,103,2025-11-07,20830.79,Em Dia,0,A
500088,1240,102,2025-05-17,51938.49,Liquidado,0,A
500089,1039,101,2025-09-04,11364.6,Liquidado,0,B
500090,1179,101,2025-08-31,2534.28,Em Atraso,97,E
500091,1012,103,2025-01-31,20734.53,Em Dia,0,B
500092,1207,101,2025-02-09,3894.56,Em Dia,0,B
500093,1223,101,2025-08-17,5164.04,Em Dia,0,C
500094,1183,103,2025-02-05,7561.35,Liquidado,0,A
500095,1206,102,2025-08-11,54075.25,Em Dia,0,B
500096,1011,101,2025-01-06,2360.77,Em Dia,0,D
500097,1154,101,2025-11-18,2158.66,Em Dia,0,C
500098,1042,104,2025-08-08,299075.41,Em Dia,0,C
500099,1155,103,2025-03-16,21363.18,Liquidado,0,A
500100,1011,103,2025-01-04,13005.61,Em Dia,0,A
500101,1038,102,2025-12-01,38555.89,Em Dia,0,A
500102,1098,102,2025-05-14,70663.21,Liquidado,0,A
500103,1171,104,2025-04-28,144669.04,Em Atraso,125,F
500104,1019,104,2025-04-04,40095.08,Liquidado,0,B
500105,1192,101,2025-03-03,6607.84,Em Dia,0,C
500106,1134,103,2025-07-13,15175.05,Em Dia,0,A
500107,1174,101,2025-12-01,1353.54,Liquidado,0,C
500108,1116,101,2025-07-22,4238.12,Em Atraso,121,E
500109,1230,103,2025-01-26,13328.84,Em Dia,0,B
500110,1113,102,2025-06-22,50630.2,Liquidado,0,A
500111,1170,104,2025-10-27,55555.63,Liquidado,0,B
500112,1220,101,2025-05-13,5936.77,Em Dia,0,C
500113,1065,102,2025-11-22,24327.67,Liquidado,0,A
500114,1099,104,2025-04-28,303641.74,Liquidado,0,C
500115,1232,104,2025-11-20,49258.03,Em Atraso,154,E
500116,1072,101,2025-10-02,3155.37,Liquidado,0,B
500117,1187,101,2025-07-31,1598.82,Em Dia,0,C
500118,1052,103,2025-08-13,16485.53,Em Dia,0,A
500119,1118,101,2025-01-20,3877.85,Em Atraso,113,E
500120,1175,104,2025-04-23,212431.86,Em Dia,0,B
500121,1120,104,2025-05-20,834219.89,Em Dia,0,B
500122,1007,101,2025-02-16,9099.02,Em Dia,0,D
500123,1011,101,2025-01-01,3146.19,Em Dia,0,C
500124,1103,101,2025-03-31,19236.88,Em Dia,0,B
500125,1061,104,2025-05-22,67074.53,Em Atraso,115,F
500126,1068,101,2025-11-16,8939.39,Em Dia,0,C
500127,1153,102,2025-02-07,56708.25,Liquidado,0,A
500128,1140,102,2025-10-20,45256.58,Em Dia,0,A
500129,1154,102,2025-05-19,37600.68,Em Dia,0,A
500130,1102,101,2025-12-22,8448.29,Em Dia,0,B
500131,1110,101,2025-11-29,1849.46,Em Atraso,132,E
500132,1140,104,2025-09-16,63485.57,Em Dia,0,C
500133,1171,104,2025-06-10,42279.81,Em Dia,0,C
500134,1051,103,2025-06-27,15956.93,Liquidado,0,A
500135,1117,101,2025-01-10,1404.14,Liquidado,0,B
500136,1165,101,2025-09-18,3364.6,Em Dia,0,C
500137,1046,103,2025-05-18,12229.86,Em Dia,0,A
500138,1053,101,2025-06-21,7996.16,Em Dia,0,C
500139,1088,104,2025-01-13,88131.66,Liquidado,0,E
500140,1208,103,2025-06-17,10231.83,Em Dia,0,C
500141,1121,101,2025-05-10,6714.98,Em Dia,0,B
500142,1013,104,2025-03-25,119473.63,Liquidado,0,B
500143,1089,104,2025-11-17,351520.65,Em Dia,0,C
500144,1125,101,2025-11-15,1377.29,Em Dia,0,D
500145,1118,102,2025-04-11,53264.42,Em Dia,0,A
500146,1054,101,2025-11-25,2328.92,Em Dia,0,E
500147,1185,101,2025-09-30,2863.97,Em Dia,0,C
500148,1116,101,2025-09-22,1881.4,Em Dia,0,B
500149,1118,102,2025-02-07,86275.87,Em Dia,0,A
500150,1004,104,2025-04-04,40967.52,Liquidado,0,D
500151,1075,102,2025-04-05,22612.91,Em Dia,0,A
500152,1224,101,2025-11-01,4556.58,Em Atraso,132,E
500153,1049,103,2025-03-10,19009.08,Liquidado,0,A
500154,1007,101,2025-11-14,1024.92,Em Dia,0,C
500155,1110,103,2025-08-24,11120.08,Liquidado,0,A
500156,1122,102,2025-11-30,42570.29,Liquidado,0,A
500157,1011,101,2025-05-17,4133.23,Liquidado,0,C
500158,1092,101,2025-03-17,10492.64,Liquidado,0,B
500159,1182,103,2025-02-04,12888.39,Liquidado,0,A
500160,1233,101,2025-01-01,5646.15,Em Dia,0,C
500161,1215,103,2025-10-23,11141.6,Liquidado,0,B
500162,1173,101,2025-11-16,14742.26,Em Dia,0,B
500163,1023,101,2025-03-01,1715.87,Em Dia,0,D
500164,1242,102,2025-11-16,53045.0,Em Dia,0,A
500165,1028,104,2025-12-15,177724.24,Liquidado,0,B
500166,1235,104,2025-11-24,21175.6,Em Dia,0,C
500167,1111,101,2025-09-24,5238.36,Em Dia,0,E
500168,1057,101,2025-12-27,24146.23,Liquidado,0,C
500169,1026,101,2025-08-17,3870.41,Em Dia,0,D
500170,1153,102,2025-09-27,39103.23,Liquidado,0,A
500171,1054,102,2025-11-12,58875.82,Liquidado,0,A
500172,1029,104,2025-10-13,292799.42,Liquidado,0,F
500173,1211,104,2025-10-18,32186.69,Em Atraso,132,E
500174,1097,101,2025-08-01,6568.27,Em Dia,0,B
500175,1164,102,2025-06-14,67425.72,Liquidado,0,B
500176,1014,103,2025-01-05,8327.94,Em Dia,0,B
500177,1078,103,2025-12-05,12367.29,Liquidado,0,A
500178,1035,101,2025-03-19,1057.49,Em Dia,0,C
500179,1030,101,2025-03-03,23279.39,Liquidado,0,C
500180,1092,102,2025-05-12,49661.03,Liquidado,0,A
500181,1017,101,2025-03-30,3413.75,Em Dia,0,E
500182,1195,101,2025-08-25,3111.8,Em Atraso,27,C
500183,1208,101,2025-02-11,4517.17,Em Dia,0,E
500184,1238,103,2025-03-30,18959.2,Em Dia,0,B
500185,1158,101,2025-10-23,6692.1,Liquidado,0,B
500186,1244,101,2025-11-24,6763.38,Liquidado,0,B
500187,1093,101,2025-10-22,2042.35,Em Dia,0,B
500188,1173,103,2025-04-14,16818.82,Em Dia,0,A
500189,1079,103,2025-01-14,14735.34,Em Dia,0,A
500190,1110,102,2025-10-15,45130.7,Liquidado,0,B
500191,1248,102,2025-06-28,53565.98,Em Atraso,82,A
500192,1217,104,2025-05-05,34379.92,Em Dia,0,B
500193,1179,101,2025-12-19,9884.47,Em Dia,0,C
500194,1102,101,2025-01-23,2115.82,Em Dia,0,E
500195,1106,101,2025-03-04,10349.69,Em Atraso,173,E
500196,1047,101,2025-05-23,9357.45,Em Dia,0,B
500197,1181,101,2025-06-02,1331.96,Em Dia,0,B
500198,1064,104,2025-05-25,309576.34,Liquidado,0,B
500199,1246,103,2025-08-13,9158.79,Em Dia,0,B
500200,1244,102,2025-11-05,52819.13,Em Dia,0,A
500201,1250,104,2025-04-14,243633.45,Em Dia,0,C
500202,1166,101,2025-04-14,1257.59,Liquidado,0,C
500203,1064,101,2025-02-08,9876.97,Liquidado,0,B
500204,1087,102,2025-07-17,25351.98,Em Dia,0,A
500205,1217,103,2025-05-14,9772.4,Liquidado,0,B
500206,1234,101,2025-03-08,7270.85,Em Atraso,39,C
500207,1007,102,2025-06-28,44546.18,Em Dia,0,A
500208,1022,103,2025-02-11,15883.2,Liquidado,0,A
500209,1081,103,2025-01-15,15338.31,Em Dia,0,A
500210,1210,103,2025-04-21,15289.36,Liquidado,0,C
500211,1241,101,2025-06-06,7695.34,Liquidado,0,B
500212,1169,101,2025-10-16,5403.22,Liquidado,0,D
500213,1074,102,2025-08-19,54021.97,Em Dia,0,A
500214,1138,101,2025-06-06,2810.98,Liquidado,0,C
500215,1185,104,2025-02-07,51030.05,Em Dia,0,C
500216,1135,102,2025-04-07,24794.31,Liquidado,0,A
500217,1240,101,2025-10-16,5165.53,Liquidado,0,B
500218,1125,103,2025-09-11,10188.31,Em Dia,0,A
500219,1050,102,2025-07-15,44428.69,Em Dia,0,A
500220,1230,101,2025-03-27,4953.86,Em Atraso,24,D
500221,1219,103,2025-11-18,22895.59,Em Dia,0,B
500222,1052,103,2025-01-10,13499.12,Liquidado,0,A
500223,1161,103,2025-01-05,8644.48,Em Dia,0,C
500224,1001,101,2025-05-03,3015.02,Liquidado,0,B
500225,1236,102,2025-11-26,55987.83,Em Dia,0,A
500226,1181,103,2025-12-19,14466.89,Liquidado,0,A
500227,1188,101,2025-04-28,4544.98,Em Atraso,109,E
500228,1162,101,2025-10-21,4090.65,Em Dia,0,D
500229,1004,103,2025-06-08,15821.95,Em Dia,0,A
500230,1145,101,2025-10-30,5102.16,Liquidado,0,B
500231,1132,103,2025-08-16,17504.59,Em Atraso,56,C
500232,1171,102,2025-12-31,55818.35,Em Dia,0,A
500233,1246,102,2025-08-04,79423.24,Liquidado,0,A
500234,1218,101,2025-07-03,8067.13,Liquidado,0,C
500235,1004,103,2025-01-15,9377.44,Em Dia,0,A
500236,1001,101,2025-06-06,6662.3,Em Dia,0,C
500237,1071,102,2025-05-16,40171.76,Em Dia,0,A
500238,1222,103,2025-09-18,14590.3,Liquidado,0,A
500239,1178,103,2025-06-06,14883.55,Em Dia,0,A
500240,1201,104,2025-02-16,126021.02,Em Dia,0,D
500241,1189,102,2025-11-20,44984.53,Em Dia,0,A
500242,1035,101,2025-11-28,7014.97,Em Dia,0,B
500243,1008,104,2025-06-22,392663.32,Em Dia,0,B
500244,1152,103,2025-05-10,15195.17,Liquidado,0,B
500245,1211,101,2025-04-05,2826.84,Em Dia,0,C
500246,1036,101,2025-04-25,14823.87,Em Dia,0,B
500247,1178,103,2025-08-31,20311.85,Liquidado,0,A
500248,1244,101,2025-10-19,3581.12,Liquidado,0,B
500249,1123,103,2025-10-09,11186.61,Em Dia,0,C
500250,1043,102,2025-10-26,29202.97,Em Dia,0,A
500251,1027,101,2025-10-10,6016.1,Em Dia,0,D
500252,1032,103,2025-03-10,18809.95,Em Dia,0,A
500253,1078,101,2025-05-28,9815.85,Em Dia,0,E
500254,1121,102,2025-01-11,48720.61,Liquidado,0,A
500255,1146,102,2025-09-11,48154.67,Liquidado,0,A
500256,1156,102,2025-11-26,55026.03,Liquidado,0,A
500257,1157,103,2025-12-26,19725.08,Em Dia,0,A
500258,1016,103,2025-02-07,15501.44,Em Dia,0,A
500259,1099,103,2025-05-14,9161.3,Em Dia,0,A
500260,1047,101,2025-07-19,2829.16,Liquidado,0,C
500261,1187,101,2025-01-23,7613.0,Em Dia,0,C
500262,1031,102,2025-10-30,63530.66,Em Atraso,26,A
500263,1004,104,2025-12-12,133573.88,Em Dia,0,C
500264,1165,103,2025-10-29,15873.36,Liquidado,0,B
500265,1017,103,2025-12-29,18871.73,Em Dia,0,A
500266,1039,101,2025-08-06,3436.62,Em Dia,0,D
500267,1048,102,2025-05-21,51809.82,Em Dia,0,A
500268,1174,102,2025-04-14,40219.67,Liquidado,0,A
500269,1218,101,2025-07-29,1649.13,Em Dia,0,C
500270,1176,101,2025-04-21,1177.65,Em Dia,0,C
500271,1039,104,2025-04-14,35983.6,Em Atraso,52,D
500272,1233,101,2025-11-12,12870.21,Em Dia,0,B
500273,1132,101,2025-06-20,6766.17,Em Dia,0,C
500274,1030,101,2025-12-22,2330.85,Em Dia,0,C
500275,1158,104,2025-11-20,34098.47,Em Dia,0,C
500276,1022,102,2025-05-13,46895.35,Em Dia,0,A
500277,1203,103,2025-10-20,7926.59,Em Dia,0,A
500278,1066,104,2025-11-24,148614.73,Liquidado,0,C
500279,1108,101,2025-05-07,3435.71,Em Dia,0,C
500280,1012,103,2025-04-16,13806.25,Em Dia,0,A
500281,1222,101,2025-04-02,7122.96,Em Dia,0,E
500282,1036,101,2025-10-14,9755.44,Em Dia,0,C
500283,1018,103,2025-02-20,13724.95,Em Dia,0,B
500284,1090,103,2025-01-29,21723.72,Liquidado,0,A
500285,1181,101,2025-10-23,1204.04,Em Dia,0,C
500286,1199,101,2025-10-24,1410.66,Liquidado,0,B
500287,1001,102,2025-08-02,57364.2,Liquidado,0,A
500288,1127,101,2025-09-24,1502.69,Liquidado,0,B
500289,1186,101,2025-09-14,10247.84,Em Dia,0,B
500290,1090,101,2025-10-29,5194.78,Em Dia,0,E
500291,1087,101,2025-04-11,1862.09,Liquidado,0,B
500292,1090,103,2025-12-12,12722.02,Em Dia,0,A
500293,1237,101,2025-04-20,5372.78,Liquidado,0,B
500294,1134,101,2025-07-01,1315.35,Em Atraso,71,E
500295,1070,102,2025-11-09,53791.31,Liquidado,0,A
500296,1044,103,2025-01-01,20734.5,Em Dia,0,A
500297,1200,101,2025-11-15,6526.68,Em Dia,0,C
500298,1152,101,2025-02-24,3127.66,Em Dia,0,D
500299,1086,101,2025-05-29,2937.55,Liquidado,0,B
500300,1019,103,2025-11-05,15765.8,Em Dia,0,A
500301,1101,102,2025-05-17,47778.37,Liquidado,0,A
500302,1146,103,2025-07-21,13371.21,Em Dia,0,B
500303,1095,104,2025-11-09,62320.05,Em Dia,0,D
500304,1101,103,2025-04-27,9736.81,Em Dia,0,A
500305,1030,103,2025-06-03,13136.2,Liquidado,0,A
500306,1249,102,2025-10-18,39277.89,Em Dia,0,A
500307,1170,101,2025-03-04,4617.49,Em Dia,0,D
500308,1033,104,2025-09-01,163205.37,Em Dia,0,B
500309,1202,101,2025-01-25,14736.99,Em Dia,0,B
500310,1229,101,2025-03-31,2498.02,Em Dia,0,D
500311,1012,103,2025-03-16,22178.1,Em Dia,0,A
500312,1118,101,2025-10-21,1998.19,Em Dia,0,D
500313,1094,102,2025-07-29,36124.54,Em Dia,0,A
500314,1155,102,2025-12-13,43027.87,Liquidado,0,A
500315,1167,102,2025-01-17,63010.3,Em Dia,0,A
500316,1137,103,2025-05-08,18991.51,Em Dia,0,A
500317,1246,101,2025-12-30,12882.1,Em Atraso,67,C
500318,1149,102,2025-09-08,45624.32,Liquidado,0,A
500319,1076,102,2025-06-28,44047.41,Em Dia,0,A
500320,1247,103,2025-07-01,15280.41,Em Dia,0,C
500321,1029,103,2025-06-01,15111.82,Em Dia,0,B
500322,1161,101,2025-01-25,1435.81,Liquidado,0,B
500323,1235,103,2025-06-29,21098.37,Em Dia,0,A
500324,1190,101,2025-07-17,4632.14,Liquidado,0,B
500325,1117,104,2025-12-10,22943.98,Em Dia,0,B
500326,1015,101,2025-06-10,9842.56,Em Dia,0,D
500327,1002,103,2025-06-26,16469.86,Em Dia,0,B
500328,1180,101,2025-10-12,6540.79,Em Dia,0,C
500329,1231,101,2025-03-04,3257.65,Liquidado,0,D
500330,1117,102,2025-05-30,15765.47,Em Dia,0,A
500331,1172,103,2025-06-03,20876.9,Liquidado,0,A
500332,1182,102,2025-06-05,55343.74,Em Dia,0,A
500333,1018,104,2025-02-18,277688.34,Liquidado,0,C
500334,1003,102,2025-12-03,44400.94,Em Dia,0,A
500335,1135,102,2025-03-25,30996.25,Liquidado,0,A
500336,1171,101,2025-12-27,5941.6,Liquidado,0,B
500337,1210,103,2025-06-26,16969.27,Em Dia,0,A
500338,1236,101,2025-05-28,6937.86,Em Dia,0,C
500339,1166,103,2025-04-28,16718.93,Em Dia,0,A
500340,1165,104,2025-12-08,121366.47,Em Dia,0,B
500341,1186,104,2025-03-04,68342.69,Em Dia,0,C
500342,1161,102,2025-07-08,50285.13,Liquidado,0,A
500343,1108,103,2025-12-26,21704.01,Liquidado,0,B
500344,1187,103,2025-02-18,14268.33,Em Dia,0,A
500345,1095,101,2025-11-23,1575.86,Em Dia,0,C
500346,1122,103,2025-09-14,11667.07,Em Dia,0,A
500347,1011,101,2025-08-12,28417.94,Em Atraso,52,B
500348,1068,102,2025-05-21,53488.79,Em Dia,0,A
500349,1123,101,2025-08-03,1794.09,Liquidado,0,C
500350,1210,101,2025-07-30,5723.64,Em Dia,0,E
500351,1196,101,2025-11-14,8231.57,Liquidado,0,B
500352,1113,102,2025-02-01,45448.41,Liquidado,0,A
500353,1098,103,2025-06-07,11797.44,Liquidado,0,A
500354,1093,101,2025-10-12,6344.62,Em Dia,0,E
500355,1216,102,2025-11-01,40775.84,Em Dia,0,B
500356,1022,101,2025-10-13,4034.95,Liquidado,0,B
500357,1194,102,2025-05-24,37622.51,Em Dia,0,A
500358,1172,103,2025-01-19,8834.09,Em Dia,0,A
500359,1127,102,2025-01-18,51400.53,Liquidado,0,A
500360,1134,103,2025-09-14,17411.6,Em Dia,0,A
500361,1170,101,2025-03-19,2226.21,Em Dia,0,B
500362,1025,103,2025-06-24,12654.35,Liquidado,0,A
500363,1247,102,2025-07-13,72790.05,Liquidado,0,A
500364,1185,102,2025-04-23,51749.93,Em Dia,0,A
500365,1085,103,2025-04-24,17560.11,Liquidado,0,A
500366,1055,101,2025-08-10,16892.1,Em Dia,0,C
500367,1144,103,2025-06-15,16425.65,Em Dia,0,A
500368,1095,103,2025-11-15,17612.12,Em Dia,0,B
500369,1142,101,2025-05-12,4352.64,Liquidado,0,B
500370,1167,101,2025-09-21,3074.28,Em Dia,0,B
500371,1156,101,2025-02-24,8653.66,Em Dia,0,C
500372,1224,104,2025-12-25,47474.44,Em Dia,0,F
500373,1220,103,2025-05-11,11982.47,Em Dia,0,A
500374,1179,101,2025-10-15,11357.29,Liquidado,0,D
500375,1119,101,2025-09-23,11870.77,Liquidado,0,B
500376,1177,102,2025-06-11,71821.24,Em Dia,0,A
500377,1009,103,2025-03-28,22523.04,Em Dia,0,B
500378,1186,101,2025-02-24,18155.26,Em Dia,0,E
500379,1173,101,2025-10-15,10470.41,Em Dia,0,C
500380,1150,103,2025-06-27,12709.49,Em Dia,0,A
500381,1160,101,2025-12-15,2200.57,Em Atraso,23,C
500382,1197,101,2025-01-08,5749.77,Liquidado,0,C
500383,1215,104,2025-11-17,40081.3,Em Dia,0,C
500384,1197,103,2025-11-09,15583.27,Em Dia,0,B
500385,1042,101,2025-09-04,5029.72,Liquidado,0,B
500386,1053,101,2025-11-19,3284.12,Liquidado,0,C
500387,1224,101,2025-09-12,4777.17,Em Atraso,135,E
500388,1187,101,2025-11-24,1092.6,Liquidado,0,D
500389,1074,103,2025-02-23,16137.54,Em Dia,0,A
500390,1039,102,2025-09-06,20963.42,Liquidado,0,A
500391,1122,103,2025-08-27,16393.03,Liquidado,0,A
500392,1015,104,2025-08-17,203981.02,Em Atraso,111,F
500393,1199,102,2025-03-08,65756.87,Em Dia,0,A
500394,1157,101,2025-02-20,19762.95,Liquidado,0,B
500395,1123,102,2025-04-07,36316.06,Em Dia,0,A
500396,1111,104,2025-04-02,551095.73,Em Atraso,164,E
500397,1131,103,2025-09-21,16480.23,Em Dia,0,C
500398,1083,101,2025-10-18,2951.82,Em Atraso,124,E
500399,1010,103,2025-04-06,12989.09,Em Dia,0,A
500400,1092,102,2025-03-29,52235.27,Liquidado,0,A
500401,1029,104,2025-03-19,107961.26,Liquidado,0,E
500402,1207,101,2025-10-15,3196.68,Liquidado,0,D
500403,1035,102,2025-04-30,65599.73,Em Dia,0,A
500404,1006,103,2025-10-29,12171.17,Em Dia,0,A
500405,1140,102,2025-06-14,90231.42,Em Dia,0,A
500406,1111,102,2025-07-01,40093.1,Liquidado,0,A
500407,1038,101,2025-08-11,2350.11,Em Dia,0,D
500408,1077,101,2025-11-07,5806.69,Em Atraso,91,E
500409,1093,101,2025-01-07,6070.96,Liquidado,0,D
500410,1147,104,2025-11-26,499153.41,Em Dia,0,C
500411,1067,101,2025-09-20,4883.36,Em Atraso,31,C
500412,1136,102,2025-06-10,58105.76,Liquidado,0,A
500413,1008,103,2025-05-31,22745.11,Liquidado,0,A
500414,1247,101,2025-03-26,2470.24,Liquidado,0,B
500415,1122,102,2025-05-27,36804.24,Em Dia,0,A
500416,1084,103,2025-04-22,14302.93,Liquidado,0,A
500417,1175,103,2025-02-05,19345.92,Em Dia,0,A
500418,1132,103,2025-10-12,16783.04,Em Dia,0,C
500419,1179,103,2025-07-07,22550.5,Em Dia,0,A
500420,1085,101,2025-03-23,20903.73,Em Atraso,67,C
500421,1195,104,2025-01-02,149846.78,Em Dia,0,B
500422,1045,101,2025-10-30,2604.97,Em Dia,0,B
500423,1136,103,2025-07-16,11139.14,Em Dia,0,A
500424,1087,101,2025-01-11,2699.92,Em Dia,0,B
500425,1016,104,2025-08-22,87329.19,Em Dia,0,C
500426,1077,103,2025-07-14,18326.17,Liquidado,0,A
500427,1195,103,2025-04-29,15485.04,Liquidado,0,B
500428,1240,101,2025-01-20,4928.91,Em Atraso,93,E
500429,1009,102,2025-09-18,63796.87,Liquidado,0,A
500430,1060,103,2025-10-20,10616.83,Em Dia,0,A
500431,1078,103,2025-09-13,13579.77,Liquidado,0,B
500432,1077,101,2025-08-10,1521.36,Em Dia,0,D
500433,1245,104,2025-08-14,68109.83,Em Dia,0,B
500434,1249,103,2025-02-22,17675.94,Em Dia,0,B
500435,1071,101,2025-12-21,1684.93,Liquidado,0,D
500436,1015,103,2025-12-08,11330.89,Em Dia,0,B
500437,1071,102,2025-12-30,21487.18,Em Dia,0,A
500438,1102,102,2025-10-07,40015.77,Em Dia,0,A
500439,1226,101,2025-03-22,5183.92,Em Dia,0,B
500440,1169,102,2025-07-21,46234.13,Em Dia,0,A
500441,1022,103,2025-06-07,16785.18,Em Dia,0,C
500442,1152,102,2025-04-30,37706.47,Liquidado,0,A
500443,1113,103,2025-02-28,13848.59,Em Dia,0,C
500444,1229,103,2025-08-03,18993.47,Em Dia,0,A
500445,1172,103,2025-05-08,18990.04,Em Dia,0,A
500446,1001,101,2025-08-12,2344.86,Em Dia,0,C
500447,1010,103,2025-07-28,19715.82,Em Dia,0,A
500448,1235,102,2025-04-25,55604.47,Liquidado,0,A
500449,1208,101,2025-07-28,3327.56,Em Atraso,68,C
500450,1110,101,2025-01-14,2786.16,Liquidado,0,C
500451,1200,102,2025-01-09,78120.63,Em Dia,0,A
500452,1184,103,2025-02-09,8161.18,Em Dia,0,A
500453,1113,101,2025-08-25,2777.07,Liquidado,0,D
500454,1217,103,2025-10-08,15875.8,Em Dia,0,A
500455,1050,101,2025-12-25,4850.24,Liquidado,0,E
500456,1012,102,2025-07-20,71297.56,Em Dia,0,A
500457,1089,104,2025-09-03,214113.67,Liquidado,0,D
500458,1209,103,2025-10-05,23121.79,Em Dia,0,A
500459,1188,101,2025-08-23,5031.15,Em Dia,0,E
500460,1154,102,2025-01-04,63859.57,Em Dia,0,B
500461,1238,101,2025-06-03,3047.64,Liquidado,0,B
